CENTRE,KADIOGO,OUAGADOUGOU/ARRDT.-1,SECTEUR-5,CEEP-PRIVE-REMALIA
CENTRE,KADIOGO,OUAGADOUGOU/ARRDT.-9,SECTEUR-39,CEEP-PRIVE-NOTRE-DAME-DE-LA-DIVINE-PROVIDENCE
CENTRE,KADIOGO,OUAGADOUGOU/-ARRONDISSEMENT-9,SECTEUR-39,LYCEE-PRIVE-RELWENDE-ODILE
CENTRE,KADIOGO,OUAGADOUGOU/-ARRONDISSEMENT-3,SECTEUR-16,LYCEE-PRIVE-ALFRED-DIBAN-KI-ZERBO
CENTRE,KADIOGO,KOMSILGA,SABTOANA,LYCEE-PRIVE-SAINT-VALENTIN
CENTRE,KADIOGO,TANGHIN-DASSOURI,POEDOGO,LYCEE-PRIVE-BAO-BANGRE
CENTRE,KADIOGO,OUAGADOUGOU/-ARRONDISSEMENT-9,YAGMA/SECTEUR-37,LYCEE-PRIVE-SAINTE-INES-DU-SALUT
CENTRE,KADIOGO,OUAGADOUGOU/-ARRONDISSEMENT-8,SECTEUR-36,LYCEE-PRIVE-DE-BASSINKO-PLUS

CENTRE,KADIOGO,OUAGADOUGOU/ARRONDISSEMENT-10,SECTEUR-45,COLLEGE-PRIVE-DU-COMPLEXE-SCOLAIRE-WEK-YAM
CENTRE,KADIOGO,KOMSILGA,TINGANDOGO,COLLEGE-PRIVE-MARIE :-LE-SUCCES-ASSURE
CENTRE,KADIOGO,TANGHIN-DASSOURI,ITAOUA,COLLEGE-PRIVE-EVANGELIQUE-BETHEL-OPHEL
CENTRE,KADIOGO,KOMSILGA,SILMISSIN,LYCEE-PRIVE-MELVIN-JONES
CENTRE,KADIOGO,OUAGADOUGOU/-ARRONDISSEMENT-4,SECTEUR-17,LYCEE-PRIVE-CONFESSIONNEL-ISLAMIQUE-AL-ILM
CENTRE,KADIOGO,KOMSILGA,SAONRE,COLLEGE-PRIVE-MAMA-AFRICA
CENTRE,KADIOGO,OUAGADOUGOU/-ARRONDISSEMENT-9,NONGHIN/SECTEUR-38,COLLEGE-PRIVE-ZOOD-WAMDE
CENTRE,KADIOGO,OUAGADOUGOU/ARRONDISSEMENT-11,SECTEUR-51,LYCEE-PRIVE-LES-EMERAUDES-DE-KARPALA
CENTRE,KADIOGO,OUAGADOUGOU/ARRONDISSEMENT-10,NIOKOII,LYCEE-PRIVE-DU-GROUPE-SCOLAIRE-YENKILMA
CENTRE,KADIOGO,OUAGADOUGOU/ARRDT.-4,SECTEUR-17,CHARLES-PEGUY)
CENTRE,KADIOGO,OUAGADOUGOU/ARRDT.-3,SECTEUR-14,NADJAH)
CENTRE,KADIOGO,OUAGADOUGOU,ARRT-9/SECT-38
CENTRE,KADIOGO,OUGADOUGOU/ARRDT.-11,SECT.-50,COLLEGE-PRIVE-LA-SOLUTION-N°-1-(COLLEGE-PRIVE-LA-SOLUTION)
CENTRE,KADIOGO,SAABA,TANLARGHIN,PRIVE-BOUNGA-ZANRE)
CENTRE,KADIOGO,OUAGADOUGOU/ARRDT.-12,SECTEUR-53
CENTRE,KADIOGO,ARRONDISSEMENT-06,SECTEUR-28,LYCEE-PRIVE-TECHNIQUE-DAAROURL-IRCHAAD
CENTRE,KADIOGO,SAABA,GAMPELA,LYCEE-PRIVE-PROFESSIONNEL-ET-TECHNIQUE-IMA-BANOAGA
CENTRE,KADIOGO,SAABA,NIOKO-I,LYCEE-PRIVE-TECHNIQUE-ET-PROFESSIONNEL-ELISA
CENTRE,KADIOGO,OUAGADOUGOU,-ARRODISSEMET-9,TAMPOUY,-SECT-38,LYCEE-PRIVE-DE-FORMATION-TECHNIQUE-SAINTE-SOLANGE

HAUTS-BASSINS,HOUET,BOBO-DIOULASSO,SECTEUR-4,CEEP-PRIVE-LA-COCCINELLE
HAUTS-BASSINS,HOUET,BOBO-DIOULASSO,SECTEUR-23,CEEP-PRIVE-EXCELLENCE-HAKILI
HAUTS-BASSINS,HOUET,BOBO-DIOULASSO,SECTEUR-18,CEEP-PRIVE-SYA-SANOU
HAUTS-BASSINS,HOUET,BOBO-DIOULASSO,SECTEUR-23,CEEP-PRIVE-AMITIE-KADI
HAUTS-BASSINS,HOUET,BOBO-DIOULASSO,SECTEUR-30,CEEP-PRIVE-LE-CHEMIN-DU-SAVOIR
HAUTS-BASSINS,HOUET,BOBO-DIOULASSO,SECTEUR-30,CEEP-PRIVE-LES-MERVEILLES
HAUTS-BASSINS,HOUET,BOBO-DIOULASSO,SECTEUR-23,CEEP-PRIVE-LE-PETIT-PRINCE-DELWENDE
HAUTS-BASSINS,HOUET,BOBO-DIOULASSO,SECTEUR-11,CEEP-PRIVE-JOSEPH-KI-ZERBO
HAUTS-BASSINS,HOUET,BOBO-DIOULASSO,SECTEUR-23,CEEP-PRIVE-GRÂCE-ALIZA
HAUTS-BASSINS,HOUET,BOBO-DIOULASSO,SECTEUR-5,CEEP-PRIVE-SAVANUS
HAUTS-BASSINS,HOUET,BOBO-DIOULASSO,SECTEUR-26,CEEP-PRIVE-UNIVERS-DU-PETIT-MONDE
HAUTS-BASSINS,HOUET,BOBO-DIOULASSO,SECTEUR-26,CEEP-PRIVE-LA-VICTOIRE-AL-FAHOUZ
HAUTS-BASSINS,HOUET,BOBO-DIOULASSO,SECTEUR-15,CEEP-PRIVE-LES-PETITS-ESPOIRS
HAUTS-BASSINS,HOUET,BOBO-DIOULASSO,SECTEUR-32,CEEP-PRIVE-LES-BERCEUSES
HAUTS-BASSINS,HOUET,BOBO-DIOULASSO,SECTEUR-33,CEEP-PRIVE-COURS-MODERNE-JERIEL
HAUTS-BASSINS,HOUET,BOBO-DIOULASSO,SECTEUR-14,CEEP-PRIVE-LA-CITE-DES-ANGES
HAUTS-BASSINS,HOUET,BOBO-DIOULASSO,SECTEUR-13,CEEP-PRIVE-DENMISSENI-SO
HAUTS-BASSINS,HOUET,BOBO-DIOULASSO,SECTEUR-21,CEEP-PRIVE-AMITIE
